
-----------------------------------------------------------------------------------------------
best_c - 4.000000
best_g - -1.000000
v_trn_best - 0.997750
best_v_cv - 3.994000
w_1_cost - 0.250845
w_0_cost - 0.749155
Test_f_score - 0.995375

------------------------------------------------
best_c - 1.000000
best_g - -1.000000
v_trn_best - 0.997417
best_v_cv - 3.993000
w_1_cost - 0.250970
w_0_cost - 0.749030
Test_f_score - 0.995375

------------------------------------------------
best_c - 1.000000
best_g - -1.000000
v_trn_best - 0.997333
best_v_cv - 3.993000
w_1_cost - 0.251001
w_0_cost - 0.748999
Test_f_score - 0.995375

------------------------------------------------
best_c - 1.000000
best_g - -1.000000
v_trn_best - 0.997333
best_v_cv - 3.993000
w_1_cost - 0.251001
w_0_cost - 0.748999
Test_f_score - 0.995375

------------------------------------------------
